与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
99,0.104897, 0.314691,0.081587, 0.252409,0.073428, 0.293712,0.073428, 0.299151,0.048952, 0.223476,0.024476, 0.209794,1.186465
100,0.145453, 0.286057,0.145012, 0.319026,0.145012, 0.292440,0.079756, 0.177237,0.048484, 0.192516,0.026585, 0.142422,0.819395
101,0.133091, 0.332728,0.079855, 0.332728,0.079855, 0.239564,0.066546, 0.193587,0.039927, 0.217786,0.066546, 0.217786,1.068361
102,0.104652, 0.257041,0.091571, 0.312867,0.104652, 0.322678,0.044398, 0.224348,0.066597, 0.261948,0.022893, 0.186355,1.130474
103,0.158871, 0.330982,0.158871, 0.330982,0.099294, 0.215138,0.039718, 0.181169,0.079436, 0.211828,0.026479, 0.167233,0.874662
104,0.125690, 0.272329,0.125690, 0.308513,0.125690, 0.308513,0.068558, 0.188536,0.034279, 0.150828,0.062845, 0.228528,0.914492
105,0.114293, 0.342878,0.109250, 0.262201,0.067537, 0.270146,0.067537, 0.281402,0.045024, 0.232157,0.021850, 0.185726,1.149019
106,0.172062, 0.326918,0.086031, 0.263553,0.092288, 0.261723,0.058567, 0.240434,0.046425, 0.222842,0.021508, 0.207648,1.046236
107,0.075618, 0.302471,0.094522, 0.330828,0.075618, 0.302471,0.047261, 0.255210,0.025206, 0.249539,0.025206, 0.216051,1.313139
108,0.140526, 0.358341,0.140526, 0.288078,0.070263, 0.227704,0.070263, 0.288078,0.035131, 0.173591,0.028105, 0.179395,1.030372
109,0.087586, 0.271516,0.098534, 0.312024,0.143322, 0.370248,0.056305, 0.225220,0.028153, 0.179781,0.023887, 0.203425,1.124428
110,0.138329, 0.362556,0.083254, 0.277512,0.069164, 0.253603,0.039436, 0.205685,0.046110, 0.222009,0.039436, 0.262906,1.168543
111,0.170869, 0.370216,0.098578, 0.236588,0.085435, 0.242064,0.085435, 0.284782,0.028478, 0.184539,0.028478, 0.184539,1.005455
112,0.114000, 0.247001,0.182401, 0.334401,0.127680, 0.228001,0.091200, 0.195429,0.091200, 0.228001,0.030400, 0.130286,0.726236
113,0.121566, 0.303916,0.078150, 0.286549,0.060783, 0.252484,0.068381, 0.243133,0.039075, 0.250731,0.052100, 0.243133,1.159890
114,0.093315, 0.279945,0.152697, 0.356294,0.093315, 0.233288,0.076349, 0.209959,0.050899, 0.236204,0.031105, 0.186630,1.004639
115,0.148200, 0.376674,0.065208, 0.236378,0.090567, 0.279247,0.074100, 0.251322,0.049400, 0.229246,0.018525, 0.181133,1.108002
116,0.143101, 0.321976,0.087450, 0.262351,0.143101, 0.310051,0.071550, 0.196763,0.043725, 0.196763,0.035775, 0.187394,0.950596
117,0.135802, 0.271605,0.101852, 0.254630,0.101852, 0.254630,0.067901, 0.237654,0.074074, 0.246914,0.049383, 0.203704,0.938272
118,0.118508, 0.351573,0.088881, 0.290344,0.088881, 0.290344,0.059254, 0.254253,0.029627, 0.217758,0.023702, 0.186877,1.182297
119,0.082577, 0.263215,0.106171, 0.336207,0.076882, 0.243861,0.076882, 0.275258,0.035390, 0.243461,0.038441, 0.221655,1.167312
120,0.119935, 0.349812,0.114644, 0.275146,0.070871, 0.259860,0.055684, 0.229698,0.039978, 0.219257,0.045858, 0.219257,1.106058
121,0.078729, 0.295233,0.131215, 0.295233,0.071572, 0.250501,0.078729, 0.275551,0.065607, 0.250501,0.019682, 0.187449,1.108934
122,0.144173, 0.376452,0.085998, 0.265160,0.062845, 0.240904,0.054465, 0.236016,0.042999, 0.272327,0.028666, 0.189995,1.161709
123,0.154848, 0.258080,0.154848, 0.283888,0.102610, 0.184698,0.154848, 0.283888,0.051616, 0.159687,0.051305, 0.159687,0.659852
124,0.136402, 0.254617,0.136402, 0.295537,0.136402, 0.313724,0.068201, 0.195055,0.068201, 0.195055,0.027280, 0.173125,0.854225
125,0.099219, 0.285254,0.130788, 0.348769,0.130788, 0.326970,0.032697, 0.176679,0.043596, 0.198437,0.032697, 0.194106,1.060430
126,0.107910, 0.199219,0.162695, 0.311832,0.162695, 0.311832,0.081348, 0.216927,0.054232, 0.182331,0.040674, 0.168305,0.780893
127,0.094434, 0.292746,0.141651, 0.354129,0.060708, 0.254973,0.044732, 0.187875,0.070826, 0.278152,0.030906, 0.188869,1.113486
128,0.129366, 0.312633,0.067763, 0.272746,0.088939, 0.303874,0.050822, 0.241405,0.029646, 0.220814,0.022235, 0.259758,1.222459
129,0.114724, 0.289830,0.086665, 0.310549,0.070157, 0.257828,0.052618, 0.254320,0.035079, 0.237629,0.021666, 0.268936,1.238182
130,0.122999, 0.307497,0.103780, 0.242154,0.160692, 0.348166,0.043697, 0.184498,0.053564, 0.186089,0.042944, 0.203919,0.944648
131,0.129947, 0.281551,0.129947, 0.307147,0.129947, 0.283520,0.064973, 0.181926,0.043316, 0.194920,0.070880, 0.181926,0.861981
132,0.151964, 0.346140,0.151964, 0.346140,0.084424, 0.197870,0.075982, 0.222881,0.042212, 0.178165,0.030393, 0.171864,0.926121
133,0.166747, 0.319599,0.166747, 0.319599,0.104217, 0.251858,0.083374, 0.179298,0.034739, 0.186872,0.026054, 0.160896,0.836243
134,0.123412, 0.349669,0.082275, 0.296190,0.082275, 0.261344,0.061706, 0.246825,0.061706, 0.246825,0.020569, 0.167204,1.136113
135,0.101994, 0.322980,0.140064, 0.309616,0.079208, 0.256944,0.038702, 0.203987,0.033998, 0.224720,0.031683, 0.256105,1.148703
136,0.154118, 0.359609,0.113078, 0.274215,0.070464, 0.201325,0.077059, 0.229201,0.051373, 0.234113,0.022616, 0.212830,1.022585
137,0.121545, 0.340325,0.121545, 0.283605,0.060772, 0.243090,0.072927, 0.267399,0.060772, 0.243090,0.020257, 0.164674,1.084363
138,0.180353, 0.330646,0.146373, 0.243955,0.099017, 0.199337,0.090176, 0.245480,0.049509, 0.168329,0.048791, 0.198034,0.771563
139,0.082619, 0.226171,0.148715, 0.338740,0.148715, 0.344248,0.041310, 0.218115,0.049572, 0.174356,0.029743, 0.197697,0.998652
140,0.155993, 0.350985,0.075703, 0.201873,0.077997, 0.214491,0.095329, 0.262155,0.077997, 0.272988,0.023832, 0.190658,0.986300
141,0.164521, 0.329042,0.164521, 0.312023,0.107296, 0.232476,0.056731, 0.176273,0.053648, 0.199776,0.027420, 0.176273,0.851723
142,0.136263, 0.295237,0.090001, 0.270003,0.136263, 0.286367,0.077144, 0.229503,0.049091, 0.181554,0.030000, 0.218574,0.962474
143,0.169439, 0.338878,0.135551, 0.338878,0.105899, 0.211799,0.084720, 0.188266,0.042360, 0.178357,0.042360, 0.163494,0.839343
144,0.156325, 0.303965,0.101951, 0.254878,0.080858, 0.246067,0.063806, 0.246067,0.052108, 0.215621,0.039081, 0.239273,1.011741
145,0.109030, 0.290747,0.086665, 0.289485,0.065313, 0.261251,0.065313, 0.234717,0.057777, 0.296105,0.020300, 0.223299,1.191207
146,0.161931, 0.337357,0.161931, 0.337357,0.080966, 0.242897,0.080966, 0.197354,0.040483, 0.171457,0.026989, 0.160312,0.893469
147,0.124389, 0.271395,0.124389, 0.300608,0.124389, 0.327936,0.067849, 0.211462,0.041463, 0.221569,0.031097, 0.153452,0.972845
148,0.114923, 0.264324,0.178770, 0.384355,0.088804, 0.208951,0.089385, 0.223462,0.044692, 0.217678,0.017877, 0.166779,0.931097
149,0.114535, 0.266295,0.154623, 0.316977,0.154623, 0.316977,0.038656, 0.171803,0.077311, 0.201010,0.030925, 0.156268,0.858656
150,0.078272, 0.300041,0.120418, 0.407664,0.048920, 0.236445,0.071156, 0.284624,0.031309, 0.195679,0.023481, 0.201991,1.252890
151,0.154343, 0.285535,0.093496, 0.249323,0.105691, 0.327237,0.077172, 0.240089,0.038586, 0.170590,0.026423, 0.231515,1.008578
