Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
70,3,0.962068966,1,1,0.365517241,0.368159204,0.368159204,0.368159204,0.121219953,0.157727355,1.000250998,,,,,70,FALSE
71,1,0.953846154,1,1,0.323076923,0.323076923,0.323076923,0.323076923,,,,,,,,FALSE,71
71,2,1,1,1,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,,,FALSE,71
71,3,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,0.05512732,0.096153561,1.001926699,,,,,FALSE,71
72,1,0.94047619,1,1,0.261904762,0.261904762,0.261904762,0.261904762,,,,,,,,FALSE,72
72,2,0.925,0.991666667,1.008474576,0.35,0.352941176,0.35,0.355932203,,,,,,,,FALSE,72
72,3,1,1,1,0.280701754,0.280701754,0.280701754,0.280701754,0.098997229,0.142857021,1,,,,,FALSE,72
75,1,0.972222222,1,1,0.277777778,0.277777778,0.277777778,0.277777778,,,,,,,,FALSE,75
75,2,1,1,1,0.270833333,0.270833333,0.270833333,0.270833333,,,,,,,,FALSE,75
75,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.020833283,0.02777768,0.99653982,,,,,FALSE,75
76,1,1,1,1,0.270833333,0.270833333,0.270833333,0.270833333,,,,,,,,FALSE,76
76,2,0.972222222,1,1,0.222222222,0.222222222,0.222222222,0.222222222,,,,,,,,FALSE,76
76,3,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0.041666561,1,,,,,FALSE,76
77,1,0.931818182,1,1,0.318181818,0.333333333,0.333333333,0.333333333,,,,,,,,77,FALSE
77,2,0.94047619,0.977272727,1.023809524,0.404761905,0.418604651,0.409090909,0.428571429,,,,,,,,77,FALSE
77,3,1,1,1,0.256410256,0.256410256,0.256410256,0.256410256,0.154178674,0.174358689,1.012986959,,,,,FALSE,77
79,1,1,1,1,0.256410256,0.256410256,0.256410256,0.256410256,,,,,,,,FALSE,79
79,2,0.958333333,1,1,0.316666667,0.316666667,0.316666667,0.316666667,,,,,,,,FALSE,79
79,3,0.972222222,1,1,0.222222222,0.222222222,0.222222222,0.222222222,0.074358882,0.086538381,0.990161863,,,,,FALSE,79
80,1,0.952380952,0.952380952,1.052631579,0.285714286,0.3,0.285714286,0.315789474,,,,,,,,FALSE,80
80,2,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,80
80,3,1,1,1,0.19047619,0.19047619,0.19047619,0.19047619,0.047618978,0.142856933,1,,,,,FALSE,80
82,1,0.946969697,0.991666667,1.008474576,0.348484848,0.352941176,0.35,0.355932203,,,,,,,,82,FALSE
82,2,0.935897436,1,1,0.358974359,0.358974359,0.358974359,0.358974359,,,,,,,,FALSE,82
82,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.025640858,0.089743443,0.993630589,,,,,FALSE,82
83,1,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,83
83,2,1,1,1,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,,,FALSE,83
83,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.092592482,0.166666561,0.999999993,,,,,FALSE,83
84,1,0.976190476,1,1,0.238095238,0.242424242,0.242424242,0.242424242,,,,,,,,84,FALSE
84,2,0.93,1,1,0.34,0.341085271,0.341085271,0.341085271,,,,,,,,84,FALSE
84,3,0.945945946,1,1,0.378378378,0.383838384,0.383838384,0.383838384,0.11389868,0.126144938,1.002472545,,,,,84,FALSE
85,1,0.97972973,1,1,0.310810811,0.315789474,0.315789474,0.315789474,,,,,,,,85,FALSE
85,2,1,1,1,0.306306306,0.306306306,0.306306306,0.306306306,,,,,,,,FALSE,85
85,3,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.108107788,0.139876251,0.9955157,,,,,FALSE,85
86,1,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,86
86,2,0.926587302,1,1,0.432539683,0.433222591,0.433222591,0.433222591,,,,,,,,86,FALSE
86,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.105820054,0.159246905,1,,,,,FALSE,86
87,1,0.98046875,1,1,0.3203125,0.324873096,0.324873096,0.324873096,,,,,,,,87,FALSE
87,2,0.954365079,0.954365079,1.050218341,0.313492063,0.328482328,0.313492063,0.344978166,,,,,,,,FALSE,87
87,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.119790764,0.133671507,0.993277378,,,,,FALSE,87
88,1,0.979591837,1,1,0.244897959,0.244897959,0.244897959,0.244897959,,,,,,,,FALSE,88
88,2,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,88
88,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.079364935,0.19387739,0.998302218,,,,,FALSE,88
90,1,0.958333333,1,1,0.316666667,0.316666667,0.316666667,0.316666667,,,,,,,,FALSE,90
90,2,0.938271605,0.967105263,1.035211268,0.271604938,0.285714286,0.276315789,0.295774648,,,,,,,,90,FALSE
90,3,0.948051948,0.979166667,1.02173913,0.285714286,0.29787234,0.291666667,0.304347826,0.110557772,0.149999766,1,,,,,90,FALSE
91,1,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,91
