PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
241,13.004508471185233,13.888282771721057,13.004508770758013,Error,Error,Error,1.3956573088814244,1.391413023137794,1.2021414980295742
242,13.137931501263488,14.946786133155223,13.215603572260715,Error,Error,Error,0.8608389661115892,1.2684979958075306,1.125073252034964
243,11.946187733965992,21.057643187520696,11.122467542316674,4.310526922068902e-6,4.310526916739832e-6,Error,0.0,0.7784102919998359,0.7828019051558863
244,11.074696132686316,12.014335216458761,11.074696670340067,Error,Error,Error,0.5503381392171098,1.1632342608760142,0.5503388212705547
245,12.209770478504588,13.26038584289438,12.209771007937734,Error,Error,Error,0.6335521666825041,0.9669279978730003,0.5503405223542073
246,13.46363317907174,19.82652367326243,13.312671740041413,Error,Error,Error,1.9528028979964844,2.02024584790776,1.3868748218205074
247,11.62693777903604,12.904477918570718,11.54926470081269,Error,Error,Error,0.559722329240592,0.5123177682379936,0.38396841096611833
248,13.940615751964952,14.12669339224458,14.04902264643231,Error,Error,Error,0.4281757153193544,0.5294467052629503,0.42817502630450477
249,11.80398435656463,12.670919506968367,11.893875872097226,Error,Error,Error,0.47113005132366403,1.0645591133092767,0.47113070051234107
250,7.873448175951169,7.916622745183587,7.873448489503242,Error,Error,Error,0.8558187136397599,0.8558215847808448,0.8558205511703383
251,9.474798944313186,9.624628202391687,9.47479898229762,Error,Error,Error,0.8340132330177701,1.5303170532548265,0.8340132330178962
252,15.95593504880102,17.047828443083276,16.289461612689955,Error,Error,Error,1.5162688235246442,3.499206491327892,2.992513163120739
253,17.801023516287493,19.134349892291983,17.80102424952549,Error,Error,Error,1.5075149666589454,1.3624304537223653,1.3659570464374653
254,11.382649602619853,11.486549026403218,11.38265011160674,Error,Error,Error,1.9060645266787297,1.8949695056977012,1.9060650716960899
255,14.701582313182792,16.751823626474852,15.066981810734022,Error,Error,Error,1.2994754773297643,3.350252560213959,2.3149497001813346
256,10.022097197962673,11.311692899974455,10.512507133220426,1.3203689841034816e-5,1.3343928691789131e-5,Error,0.0,1.405770229676655,1.3458845505088632
257,10.968964545401988,12.279501705537998,11.381702035708463,1.9496973917009965,1.9496973917009877,Error,0.0,0.8730129918443614,0.911471325130317
258,12.825812597256363,13.183191621857047,12.825812747525628,Error,Error,Error,1.0735934492491515,0.8604726158692433,0.8604713621880196
259,13.111270225603306,14.095539984452225,13.476670046830929,Error,Error,Error,1.3114150353585607,2.314878714244089,1.5495371913278522
260,15.869563769141354,15.909073253458331,15.869563267900002,Error,Error,Error,1.2857694822368568,1.2857694822369643,1.285756718387641
261,10.89039228880538,12.269506098796597,11.624475595413923,Error,Error,Error,2.9862957894837345,4.201963645887488,3.591558147805909
262,12.276906208997412,13.07461496483986,12.0482733125144,Error,Error,Error,1.758950614107989,1.5303196163299297,1.5303189755611228
263,14.257725642623482,15.742414093667813,14.399323650016179,Error,Error,Error,3.5602383507831927,0.6203377839795321,0.5054909662945342
264,11.250500841246133,12.620247816198917,11.663238296775782,Error,Error,Error,0.3498779890921222,1.369839093937948,1.2022683089067545
265,9.663224169106172,12.138492591704404,11.472524220226589,Error,Error,Error,0.5877510453079591,2.102600629925404,0.6165963223761652
266,9.567873719787716,13.402233319786697,9.59252438425269,3.076363829457307e-6,3.076363840115448e-6,Error,0.0,1.0991327374680822,1.170882960025832
267,10.396893471689715,15.90800816049973,10.396893587143857,Error,Error,Error,1.0690629909056204,1.2484397543481744,1.029316039518931
268,13.42002126494605,15.135532888382732,14.699901323835492,Error,Error,Error,2.283216709493395,4.199543397909582,3.652671792570996
269,12.56206306194878,13.792002509405869,12.562064738613834,Error,Error,Error,0.35367580841305735,0.8201227226642143,0.8838782948987944
270,11.118895595112958,11.947663969081766,11.118896120234698,Error,Error,Error,0.6025235666448419,0.9690873592553357,0.5503410047697628
271,12.925184579466082,12.014888414187311,11.317197177012446,Error,Error,Error,1.4055843409684847,1.2406182621551363,0.47113070051231354
272,11.474747827347025,10.784573431101794,10.852657496174265,Error,Error,Error,2.092984508393452,0.9707539446659057,0.6682123072864652
273,14.755496413381366,16.265327215474297,14.33407126131986,Error,Error,Error,1.4741849433983392,1.5314361632946367,1.230255692827492
274,11.767593282084208,13.585806382942403,13.284614886344254,Error,Error,Error,0.5877544211700281,3.097084855021386,2.772585635360353
275,16.572534159209898,16.736874330592862,16.393591971995754,Error,Error,Error,3.4264273919686596,3.044448908845479,2.951008372752108
276,12.365115127636448,13.543726547799283,12.365115764330355,Error,Error,Error,1.3972840828496347,2.0180938093437906,1.3838024659344415
277,12.7619035133861,12.825902781998478,12.761902803611536,Error,Error,Error,1.5588654502744106,1.8170188071673117,1.9632650285362248
278,11.88165545714492,12.7124527498715,11.881655820524491,Error,Error,Error,2.3216221724605983,3.1908292982586683,2.321622452085614
279,11.796038259292551,12.419711632208058,11.875249299716538,Error,Error,Error,0.6355202805742852,0.6463133176808808,0.3855103963679909
280,12.329045596707742,13.746401317391495,12.566740101721523,Error,Error,Error,0.6601466198861186,1.1686898690521765,0.8938263734338081
281,10.383907731990796,17.76678334877196,10.918028165665348,Error,Error,Error,2.106145932728995,2.717758144391264,2.3072932509442667
282,11.170883585574387,14.708177786096782,13.008641967149062,Error,Error,Error,1.9273461438951962,3.617823922589631,2.990326036735758
283,14.25091125663166,14.848394041491664,14.25091150033203,Error,Error,Error,3.671778546599816,3.746150501184246,3.4995636651817543
284,13.9301236648354,14.732803927083044,13.930123682844759,Error,Error,Error,1.0543538380755821,1.120999372986474,0.8757479077759118
285,9.08533043640374,10.143514025673069,9.085328905194077,Error,Error,Error,0.6354471682432026,1.0809416267605805,0.5877568036156253
286,9.468494411526477,19.487986858103422,9.468494043320904,1.1249999838369718e-6,1.0812499739998316e-6,1.7357143100582562e-6,0.0,0.6344803712537592,0.0
287,7.871186845378566,8.821866621883142,7.871186910628995,Error,Error,Error,0.655990367248279,0.655990561212219,0.2898087326388801
288,14.357487885123634,79.75254112724667,14.20214240160364,Error,Error,Error,2.006523130965032,1.4743743994852876,1.532194273912129
289,12.94565257566753,20.25881385883151,13.334307558144076,Error,Error,Error,0.8280984108321308,1.8882518603951288,1.7105039426888604
290,12.235638998321395,13.207775103374555,12.065402422828935,Error,Error,Error,0.8947848876535849,1.0917504777250588,1.1245976954778998
291,9.430267596370737,9.763794480220449,9.723593008315781,Error,Error,Error,1.086271434756104,1.6466265900107002,1.4549063855172948
292,12.373091617179272,14.214036620377028,12.736976041458863,Error,Error,Error,1.419571697667691,1.710494652648424,1.502917992349393
293,8.58043339110457,8.580433894942686,8.580433733961758,Error,Error,Error,1.9069099974673582,1.5588654851615935,1.558865485161598
294,5.847099532472773,5.92186719579306,5.847099594039948,Error,Error,Error,0.7125344011638131,0.9701330751394588,0.5481511876078313
295,10.899190979664652,14.463071194088563,10.899190911039515,Error,Error,Error,1.4115085435407622,1.2235169779627144,1.2219914753466297
296,16.071399733725443,15.759173216020972,15.759172147547154,Error,Error,Error,1.5683906346827259,0.4290495558372589,0.39148997062833857
297,14.012923618965393,23.159080493537076,14.524711679387307,Error,Error,Error,2.378040026563003,3.0171326561932927,2.658720648045998
298,12.435328846557269,12.453804735565972,12.435328925277748,Error,Error,Error,2.158332460966788,2.1583345082554857,2.1583337712321224
299,13.926497325098879,14.529046728809213,13.92649776821795,Error,Error,Error,1.3671647807370197,1.5994309548159134,1.2142811797455684
300,7.776508469741684,8.352569737700179,7.776508437785056,Error,Error,Error,0.2500279677278945,0.28982942525423816,0.250028725492097
301,15.405592955615784,16.40532624442864,15.513999674724118,Error,Error,Error,1.8271893729256377,1.9741406705220843,1.8141194222262893
302,11.441580728441986,13.190428638655884,11.441580713610607,Error,Error,Error,1.6783725224228325,1.4475161875799998,1.5408555065196259
303,9.98931431114694,10.60590856379716,9.98931080637636,Error,Error,Error,1.558863835036144,1.8348333465077449,1.9069031852397549
304,18.960414907293067,83.28862273363804,20.543991466196907,Error,Error,Error,2.7942280466386435,3.0800994117402327,2.7725849969164473
305,8.283485368662387,8.299041020512483,8.28348568270657,Error,Error,Error,1.411507409038638,1.4115099116166396,1.4115090106884427
306,12.160767204421205,12.904363560343482,12.160767192552866,Error,Error,Error,1.336461348336968,1.7350946914292695,1.7419339147796187
307,9.71926485976731,9.931483735781601,9.719265012511148,Error,Error,Error,1.4114953031836004,1.4114957581975398,1.4114957581977006
308,10.521215397560171,11.073108888285983,10.52121530271667,Error,Error,Error,0.7414430223246216,2.263976251703837,0.694269767767941
309,15.567276853109384,19.164532390911603,16.53425549093656,Error,Error,Error,2.6844433886798393,3.528129269604264,3.092756207899102
310,10.646031968191352,11.723166870421931,10.798721242219866,Error,Error,Error,0.8876839421400415,0.8506346949384547,0.41310694268622505
311,12.817052353348659,13.363330525752904,12.817051557940342,Error,Error,Error,0.9432914567724646,0.8589048229703327,0.58775631961886
312,9.091527409538676,9.113262378505363,9.008049851712137,Error,Error,Error,0.28508296880108475,0.35291318415935713,0.28508341871436205
313,13.142732176157923,12.978173081529972,12.178088507611893,Error,Error,Error,0.1528839993935307,0.6393938863686275,0.24163552674275568
314,13.279853310378162,13.81724732341024,13.279853414115562,Error,Error,Error,0.5939101425406088,0.8306461681085029,0.5939106506804785
315,13.370394667737475,13.576243337995699,13.13737770599675,Error,Error,Error,1.2273158120584204,1.0914293850923427,0.6958558084961988
316,13.1974019763447,75.87430246420129,14.413281384602957,Error,Error,Error,0.6069421864532059,2.209682542784946,2.0512524331177353
317,16.740369051187834,81.67289380445553,16.740357714456895,Error,Error,Error,1.0932230509326741,1.0820631340529925,0.7387003044615037
318,11.39227796348855,13.775407242044832,11.543236456769165,Error,Error,Error,0.3093964286256954,1.2948077740183779,0.6220913545916362
319,12.623269574651882,13.445364984810718,12.623270128928056,Error,Error,Error,1.0581543746820667,1.331832507595351,0.6942725984819349
320,11.391246417568714,15.726682792678961,12.032617104236035,Error,Error,Error,1.4055902946724173,2.6359700730979325,2.0663551887506175
321,13.391859615280772,13.995191117957454,13.882269432434121,Error,Error,Error,0.692887254944929,1.6959272560039151,1.6974466029914819
322,11.090350819466089,12.652499469995806,11.090349522110495,Error,Error,Error,1.7312787635078584,2.1127386077320773,0.8925729980797064
323,12.439703059186145,14.105762454333016,12.439703210014262,Error,Error,Error,0.14893052902155013,0.10935470187614449,0.12225197227215379
324,10.09140022097137,10.302440654198719,9.405499794173277,Error,Error,3.3255006490762185e-6,0.9913906980036042,0.7325500384687595,0.0
325,10.832200804408842,11.849902677953127,10.832200804408837,5.545177956479586,5.545177955248813,5.54517828186424,0.0,0.5316413250061203,0.0
326,12.624298019095756,14.897188569995993,12.917623291834083,Error,Error,Error,2.027176107609824,2.4110175359034125,1.8739868785604417
327,12.07117148799978,12.841495593977879,12.135863248322734,Error,Error,Error,0.8701097784276923,1.4039143127316125,1.0864624473794988
328,12.027127004041558,12.558492232996366,12.027126949342954,Error,Error,Error,1.9109012585678444,1.9740082587885572,1.3696259843243714
329,8.788897827678108,9.047050852561776,8.788897824136512,5.123738368182078,5.123738368181884,5.28702586459584,0.0,0.0,0.0
330,15.36383251785714,15.53004046675747,15.052002400087616,Error,Error,Error,2.06226767856099,1.3871757060701615,0.8922258110913557
331,15.307459828351531,15.011598032554126,14.755517137306871,Error,Error,5.695497062419008e-6,3.0663744445857812,0.33717299935596134,0.0
332,15.94462629369673,18.175439900587712,17.548165261509965,Error,Error,Error,2.9495132093543424,1.5198142514310673,0.7798423786332194
333,12.530455105426658,13.013582736683377,12.530455202664543,Error,Error,Error,1.3100106705465642,1.3766553154881178,1.1236071032535877
334,15.333820606358412,15.24906156072175,14.91239814747334,Error,Error,Error,2.3870040376315877,2.8691202836664207,2.200183146565923
335,13.014136041254464,13.219463740377414,12.863174961575858,Error,Error,Error,0.6699960280156549,0.7950060297079844,0.6699959205026449
336,10.24154623354167,11.311402410463563,9.939626599152021,Error,Error,3.5655387078392664e-6,0.2964308600434684,0.07692432020355078,0.0
337,11.712554230922072,12.921905593066501,12.125291973756477,Error,Error,Error,0.6559926643886991,1.5350448378084858,1.0842192123020258
338,10.167978407243975,11.017310095491094,10.167978972744141,Error,Error,Error,0.4271064511815972,0.6618208266518479,0.381238405751426
339,14.755514953242542,15.174377034242536,14.755515207128925,Error,Error,Error,1.9174440681993197,1.8192371429356307,1.5173544191086794
