Trial,PCM,式1の解の中心の総和,式5の解に対するt_L,式1の最適値,式5の最適値とt_Lの積,式1の最適値と式1の解の中心の総和の商,式5の最適値
29,1,0.9444444444444444,0.9999999999999998,0.3333333333333335,0.3333333333333334,0.3529411764705884,0.3333333333333335
29,2,0.9999999999999996,0.9999999999999998,0.13333333333333391,0.13333333333333328,0.13333333333333397,0.1333333333333333
29,3,0.9999999999999997,1.0,0.18181818181818318,0.18181818181818166,0.18181818181818324,0.18181818181818166
30,1,0.9634146341463421,0.9634146341463414,0.21951219512195164,0.2195121951219513,0.22784810126582306,0.2278481012658229
30,2,0.9999999999999998,1.0,0.222222222222222,0.22222222222222276,0.22222222222222204,0.22222222222222276
30,3,0.9679487179487178,0.9833333333333334,0.166666666666667,0.16666666666666646,0.1721854304635765,0.16949152542372858
31,1,1.0,1.0000000000000004,0.1647058823529411,0.16470588235294134,0.1647058823529411,0.16470588235294126
31,2,0.9999999999999999,1.0000000000000004,0.3366336633663366,0.33663366336633666,0.33663366336633666,0.3366336633663365
31,3,1.0,1.0000000000000004,0.1647058823529411,0.16470588235294134,0.1647058823529411,0.16470588235294126
32,1,0.9444444444444444,0.9999999999999998,0.3333333333333335,0.3333333333333334,0.3529411764705884,0.3333333333333335
32,2,0.9999999999999996,1.0,0.1818181818181821,0.18181818181818188,0.18181818181818218,0.18181818181818188
32,3,0.9722222222222221,1.0,0.27777777777777857,0.27777777777777746,0.2857142857142866,0.27777777777777746
33,1,1.0,1.0,0.19354838709677394,0.19354838709677358,0.19354838709677394,0.19354838709677358
33,2,1.0000000000000002,1.0000000000000004,0.2807017543859633,0.2807017543859647,0.28070175438596323,0.28070175438596456
33,3,0.9431818181818182,0.9999999999999996,0.25000000000000017,0.2500000000000002,0.2650602409638556,0.25000000000000033
36,1,0.9117647058823537,1.0000000000000002,0.4117647058823526,0.41176470588235314,0.45161290322580566,0.41176470588235303
36,2,0.9843750000000003,0.9999999999999998,0.21874999999999972,0.21874999999999994,0.22222222222222188,0.21875
36,3,0.9999999999999987,0.9999999999999998,0.30630630630630834,0.30630630630630656,0.30630630630630873,0.3063063063063066
37,1,1.0000000000000004,1.0000000000000004,0.27004219409282726,0.2700421940928269,0.27004219409282715,0.2700421940928268
37,2,0.9388888888888918,1.0000000000000002,0.32222222222222247,0.3222222222222229,0.34319526627218855,0.32222222222222285
37,3,0.9999999999999986,0.9999999999999996,0.28070175438596545,0.280701754385965,0.28070175438596584,0.2807017543859651
39,1,0.9999999999999998,0.9999999999999998,0.20987654320987653,0.2098765432098763,0.2098765432098766,0.20987654320987637
39,2,0.9375000000000002,0.9583333333333327,0.3333333333333338,0.3333333333333333,0.35555555555555596,0.34782608695652195
39,3,0.9388888888888889,1.0000000000000002,0.32222222222222274,0.3222222222222229,0.3431952662721899,0.32222222222222285
40,1,1.0,1.0,0.2278481012658224,0.22784810126582222,0.2278481012658224,0.22784810126582222
40,2,0.9431818181818182,0.9999999999999996,0.25000000000000017,0.2500000000000002,0.2650602409638556,0.25000000000000033
40,3,0.9097222222222223,0.9933333333333334,0.3888888888888886,0.41333333333333333,0.427480916030534,0.4161073825503355
41,1,0.9679487179487178,0.9833333333333334,0.166666666666667,0.16666666666666646,0.1721854304635765,0.16949152542372858
