Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
62,3,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,0.46024795,0.460248192,0.989449948,,,,,FALSE,62
66,1,0.935028249,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,66
66,2,0.980769231,0.980769231,1.02,0.192307692,0.196078431,0.192307692,0.2,,,,,,,,FALSE,66
66,3,0.96875,0.96875,1.033333333,0.3125,0.322580645,0.3125,0.333333333,0.573717888,0.66166658,0.956556409,,,,,FALSE,66
67,1,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,,,,,,,,FALSE,67
67,2,0.963157895,1,1,0.284210526,0.290909091,0.290909091,0.290909091,,,,,,,,67,FALSE
67,3,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,0.370676631,0.473376405,0.991629162,,,,,FALSE,67
69,1,0.913333333,1,1,0.386666667,0.4,0.4,0.4,,,,,,,,69,FALSE
69,2,1,1,1,0.086206897,0.086206897,0.086206897,0.086206897,,,,,,,,FALSE,69
69,3,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,0.557240846,0.7286426,0.951715176,,,,,FALSE,69
70,1,0.960869565,0.985714286,1.014705882,0.252173913,0.260869565,0.257142857,0.264705882,,,,,,,,70,FALSE
70,2,0.984848485,1,1,0.212121212,0.212121212,0.212121212,0.212121212,,,,,,,,FALSE,70
70,3,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,0.506508034,0.566416611,0.952850131,,,,,FALSE,70
71,1,0.97826087,1,1,0.217391304,0.218181818,0.218181818,0.218181818,,,,,,,,71,FALSE
71,2,0.99122807,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,71
71,3,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,0.609076909,0.651982096,0.956422734,,,,,FALSE,71
75,1,0.938271605,1,1,0.271604938,0.285714286,0.285714286,0.285714286,,,,,,,,75,FALSE
75,2,1,1,1,0.275303644,0.275303644,0.275303644,0.275303644,,,,,,,,FALSE,75
75,3,1,1,1,0.223776224,0.223776224,0.223776224,0.223776224,0.498679773,0.581295459,1.000833182,,,,,FALSE,75
76,1,0.9625,1,1,0.225,0.225,0.225,0.225,,,,,,,,FALSE,76
76,2,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,,,,,,,,FALSE,76
76,3,0.945,1,1,0.31,0.322981366,0.322981366,0.322981366,0.596666561,0.701883795,0.995312025,,,,,76,FALSE
77,1,0.980769231,0.980769231,1.02,0.192307692,0.196078431,0.192307692,0.2,,,,,,,,FALSE,77
77,2,1,1,1,0.153153153,0.153153153,0.153153153,0.153153153,,,,,,,,FALSE,77
77,3,0.938596491,0.95045045,1.055,0.368421053,0.388625592,0.369369369,0.41,0.598770728,0.628420182,0.969122606,,,,,77,FALSE
80,1,0.982608696,0.982608696,1.018018018,0.295652174,0.300884956,0.295652174,0.306306306,,,,,,,,FALSE,80
80,2,0.95,1,1,0.3,0.3,0.3,0.3,,,,,,,,FALSE,80
80,3,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,0.517492754,0.517494716,0.987174966,,,,,FALSE,80
81,1,0.979166667,0.979166667,1.02173913,0.291666667,0.29787234,0.291666667,0.304347826,,,,,,,,FALSE,81
81,2,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,,,,,,,,FALSE,81
81,3,0.96039604,1,1,0.277227723,0.283870968,0.283870968,0.283870968,0.534653325,0.753263275,0.98313535,,,,,81,FALSE
82,1,1,1,1,0.218390805,0.218390805,0.218390805,0.218390805,,,,,,,,FALSE,82
82,2,0.981481481,0.981481481,1.019230769,0.185185185,0.188679245,0.185185185,0.192307692,,,,,,,,FALSE,82
82,3,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,0.445082941,0.465608363,0.99410538,,,,,FALSE,82
83,1,1,1,1,0.275303644,0.275303644,0.275303644,0.275303644,,,,,,,,FALSE,83
83,2,1,1,1,0.181818182,0.181818182,0.181818182,0.181818182,,,,,,,,FALSE,83
83,3,0.988888889,0.988888889,1.011363636,0.288888889,0.292134831,0.288888889,0.295454545,0.709434307,0.715494881,0.953333348,,,,,FALSE,83
84,1,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,,,,,,,,FALSE,84
84,2,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,,,,,,,,FALSE,84
84,3,1,1,1,0.196078431,0.196078431,0.196078431,0.196078431,0.406162421,0.610967124,0.978133779,,,,,FALSE,84
85,1,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,,,,,,,,FALSE,85
85,2,1,1,1,0.148148148,0.148148148,0.148148148,0.148148148,,,,,,,,FALSE,85
85,3,0.955357143,0.955357143,1.049019608,0.339285714,0.355140187,0.339285714,0.37254902,0.5383591,0.713423484,1.022359332,,,,,FALSE,85
86,1,0.958333333,1,1,0.283333333,0.294736842,0.294736842,0.294736842,,,,,,,,86,FALSE
86,2,0.96969697,1,1,0.303030303,0.307692308,0.307692308,0.307692308,,,,,,,,86,FALSE
86,3,1,1,1,0.279569892,0.279569892,0.279569892,0.279569892,0.640713395,0.768986074,0.887411693,,,,,FALSE,86
87,1,0.976190476,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,87
87,2,1,1,1,0.3,0.3,0.3,0.3,,,,,,,,FALSE,87
87,3,1,1,1,0.383141762,0.383141762,0.383141762,0.383141762,0.664941259,0.688750788,0.993839791,,,,,FALSE,87
88,1,0.930769231,0.9625,1.040540541,0.323076923,0.337662338,0.325,0.351351351,,,,,,,,88,FALSE
88,2,0.992307692,1,1,0.169230769,0.169230769,0.169230769,0.169230769,,,,,,,,FALSE,88
88,3,0.975,1,1,0.2,0.2,0.2,0.2,0.430768873,0.462057708,0.943368595,,,,,FALSE,88
89,1,0.941176471,0.983870968,1.016666667,0.352941176,0.360655738,0.35483871,0.366666667,,,,,,,,89,FALSE
89,2,0.958823529,1,1,0.270588235,0.276923077,0.276923077,0.276923077,,,,,,,,89,FALSE
89,3,1,1,1,0.214876033,0.214876033,0.214876033,0.214876033,0.481769411,0.500061434,1.0049678,,,,,FALSE,89
90,1,0.9875,1,1,0.175,0.175,0.175,0.175,,,,,,,,FALSE,90
90,2,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,,,,,,,,FALSE,90
90,3,1,1,1,0.17989418,0.17989418,0.17989418,0.17989418,0.410119008,0.433928522,0.974760645,,,,,FALSE,90
92,1,1,1,1,0.179487179,0.179487179,0.179487179,0.179487179,,,,,,,,FALSE,92
92,2,0.954022989,0.985294118,1.015151515,0.32183908,0.328358209,0.323529412,0.333333333,,,,,,,,92,FALSE
92,3,0.96875,1,1,0.1875,0.1875,0.1875,0.1875,0.461371963,0.49999978,1.012020657,,,,,FALSE,92
94,1,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,,,,,,,,FALSE,94
94,2,1,1,1,0.17989418,0.17989418,0.17989418,0.17989418,,,,,,,,FALSE,94
94,3,0.981481481,0.981481481,1.019230769,0.185185185,0.188679245,0.185185185,0.192307692,0.460777039,0.460777268,1.00497048,,,,,FALSE,94
95,1,1,1,1,0.153153153,0.153153153,0.153153153,0.153153153,,,,,,,,FALSE,95
95,2,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,,,,,,,,FALSE,95
95,3,0.955357143,0.955357143,1.049019608,0.339285714,0.355140187,0.339285714,0.37254902,0.567528022,0.567528765,1.013910289,,,,,FALSE,95
101,1,0.971544715,1,1,0.349593496,0.35862069,0.35862069,0.35862069,,,,,,,,101,FALSE
101,2,1,1,1,0.106060606,0.106060606,0.106060606,0.106060606,,,,,,,,FALSE,101
101,3,0.982142857,1,1,0.25,0.25,0.25,0.25,0.624933802,0.660453006,0.985728538,,,,,FALSE,101
105,1,1,1,1,0.279569892,0.279569892,0.279569892,0.279569892,,,,,,,,FALSE,105
105,2,0.96969697,1,1,0.242424242,0.242424242,0.242424242,0.242424242,,,,,,,,FALSE,105
105,3,0.965,1,1,0.22,0.22,0.22,0.22,0.519095584,0.557125809,0.96417565,,,,,FALSE,105
106,1,0.96969697,1,1,0.303030303,0.307692308,0.307692308,0.307692308,,,,,,,,106,FALSE
106,2,0.949838188,1,1,0.25566343,0.263157895,0.263157895,0.263157895,,,,,,,,106,FALSE
106,3,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,0.440422949,0.465586745,0.97821792,,,,,FALSE,106
111,1,0.979166667,0.979166667,1.02173913,0.291666667,0.29787234,0.291666667,0.304347826,,,,,,,,FALSE,111
111,2,1,1,1,0.186666667,0.186666667,0.186666667,0.186666667,,,,,,,,FALSE,111
111,3,0.960606061,0.992307692,1.0078125,0.321212121,0.325581395,0.323076923,0.328125,0.530605366,0.619665291,0.995472119,,,,,111,FALSE
112,1,1,1,1,0.196078431,0.196078431,0.196078431,0.196078431,,,,,,,,FALSE,112
112,2,0.980769231,1,1,0.192307692,0.194285714,0.194285714,0.194285714,,,,,,,,112,FALSE
112,3,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,0.423680123,0.448515263,0.984501639,,,,,FALSE,112
