Trial,PCM,t_L,t_U
735,3,0.9375000000000004,1.0714285714285716
736,1,1.0,1.0000000000000004
736,2,0.9687499999999996,1.0333333333333339
736,3,0.9848484848484849,1.015625
737,1,0.9625000000000002,1.0405405405405401
737,2,0.9999999999999996,1.0000000000000004
737,3,1.0,1.0
738,1,0.9891304347826083,1.0111111111111117
738,2,0.9999999999999996,1.0000000000000018
738,3,0.9375,1.0714285714285716
739,1,0.9871794871794871,1.013157894736842
739,2,0.9816513761467897,1.019047619047621
739,3,1.0000000000000004,1.0000000000000004
740,1,0.9999999999999996,1.0000000000000004
740,2,0.9596774193548389,1.0438596491228065
740,3,0.9632352941176473,1.0396825396825395
741,1,0.9750000000000001,1.0263157894736843
741,2,1.0,1.0000000000000004
741,3,0.9999999999999982,1.0000000000000018
742,1,1.0,1.0000000000000004
742,2,0.9772727272727272,1.0238095238095237
742,3,1.0,1.0
743,1,1.0,1.000000000000001
743,2,0.9750000000000001,1.0263157894736838
743,3,1.0,1.0000000000000007
744,1,0.9923076923076928,1.0078124999999998
744,2,0.9999999999999998,1.0000000000000002
744,3,1.0,1.0000000000000007
745,1,1.0,1.0
745,2,0.9895833333333327,1.0106382978723416
745,3,1.0,1.0
746,1,0.9999999999999998,1.0000000000000002
746,2,1.0,1.0000000000000004
746,3,0.9795918367346942,1.0212765957446814
747,1,1.0,1.0
747,2,0.9807692307692308,1.02
747,3,0.9500000000000001,1.055555555555555
748,1,1.0,1.0000000000000004
748,2,1.0,1.0
748,3,0.9062500000000002,1.1153846153846152
749,1,1.0000000000000004,0.9999999999999998
749,2,1.0,1.0000000000000002
749,3,1.0000000000000002,1.0000000000000002
750,1,1.0000000000000004,0.9999999999999998
750,2,1.0000000000000002,1.0000000000000009
750,3,1.0,1.0000000000000002
751,1,0.9999999999999998,1.0000000000000002
751,2,0.9999999999999998,1.0000000000000004
751,3,0.9999999999999998,1.0000000000000007
752,1,0.9999999999999996,1.0000000000000004
752,2,1.0000000000000002,0.9999999999999998
752,3,1.0000000000000004,1.0000000000000022
753,1,1.0,1.0
753,2,1.0000000000000007,0.9999999999999998
753,3,0.993333333333335,1.006756756756755
754,1,1.0,0.9999999999999996
754,2,0.9888888888888886,1.011363636363637
754,3,0.9999999999999998,1.0
755,1,0.9791666666666665,1.0217391304347827
755,2,0.9375000000000004,1.0714285714285716
755,3,0.9677419354838714,1.0344827586206893
756,1,1.0,1.0000000000000002
756,2,1.0000000000000007,1.0000000000000002
756,3,0.972972972972973,1.0285714285714287
757,1,0.9062500000000002,1.1153846153846152
757,2,1.0,1.0000000000000002
757,3,0.9750000000000001,1.0263157894736843
758,1,1.0,1.0000000000000002
758,2,1.0,1.0000000000000002
758,3,1.0,1.0000000000000002
759,1,0.9999999999999996,1.0000000000000004
759,2,0.9891304347826088,1.011111111111111
759,3,1.0,1.0000000000000002
760,1,1.0000000000000002,1.0
760,2,1.0000000000000002,1.0
760,3,0.9537037037037037,1.051020408163266
761,1,1.0,1.0000000000000004
761,2,1.0000000000000004,1.0000000000000004
761,3,0.9807692307692306,1.0200000000000002
762,1,0.9750000000000003,1.0263157894736845
762,2,0.9596774193548389,1.0438596491228065
762,3,1.0000000000000002,1.0
763,1,1.0,1.0
763,2,1.0,1.000000000000001
763,3,1.0000000000000004,0.9999999999999998
764,1,0.999999999999998,1.000000000000002
764,2,1.0,1.0000000000000004
764,3,0.9537037037037037,1.051020408163266
765,1,1.0000000000000002,1.0000000000000004
765,2,1.0000000000000002,1.0000000000000004
765,3,0.9677419354838711,1.0344827586206902
766,1,1.0,1.0
766,2,0.9871794871794869,1.0131578947368425
766,3,0.9772727272727272,1.0238095238095237
767,1,1.0,0.9999999999999993
767,2,1.0000000000000042,0.999999999999996
767,3,0.9912280701754388,1.0089285714285712
768,1,0.9758064516129027,1.0254237288135601
768,2,0.9523809523809523,1.0526315789473681
768,3,1.0,1.0000000000000002
769,1,1.0,1.0000000000000002
769,2,1.0000000000000002,1.0000000000000007
769,3,1.0000000000000002,1.0000000000000002
770,1,1.0,1.0000000000000004
770,2,1.0000000000000002,1.0
770,3,0.9999999999999998,1.0000000000000004
771,1,1.0,1.0000000000000029
771,2,0.9923076923076923,1.0078124999999998
771,3,0.9999999999999996,1.0000000000000004
772,1,0.9891304347826083,1.0111111111111117
772,2,1.0,1.0000000000000022
772,3,1.0,1.0000000000000009
773,1,1.0000000000000036,0.9999999999999971
773,2,1.0000000000000002,0.9999999999999996
773,3,1.0,1.0000000000000007
774,1,0.9999999999999998,1.0000000000000004
774,2,0.9965753424657541,1.003448275862069
774,3,0.993333333333335,1.006756756756755
775,1,1.0,1.0
775,2,1.0,1.0000000000000002
775,3,1.0,1.0000000000000002
776,1,1.0000000000000002,1.0000000000000002
776,2,1.0,1.0000000000000004
776,3,0.9750000000000003,1.0263157894736845
777,1,1.0,1.0000000000000004
777,2,0.9871794871794871,1.0131578947368423
777,3,0.9871794871794874,1.013157894736842
778,1,0.9833333333333336,1.017241379310345
778,2,1.0,1.0000000000000002
778,3,1.0,1.0
779,1,0.9625000000000002,1.0405405405405401
779,2,1.0,1.0
779,3,1.0,1.000000000000004
780,1,1.000000000000001,1.0000000000000007
780,2,1.0000000000000002,1.0000000000000002
780,3,0.9565217391304355,1.047619047619048
781,1,0.9666666666666666,1.0357142857142858
781,2,1.0000000000000002,0.9999999999999998
781,3,0.9750000000000001,1.026315789473684
782,1,1.0000000000000002,1.0000000000000004
782,2,0.9999999999999998,1.0
782,3,0.9809523809523808,1.0198019801980198
783,1,1.0000000000000004,1.0
783,2,1.0,1.0000000000000029
783,3,1.0000000000000002,1.0
784,1,1.0,1.0000000000000002
784,2,0.9782608695652194,1.0227272727272718
784,3,1.0,1.0000000000000004
785,1,1.0,1.0000000000000004
785,2,0.975000000000001,1.026315789473684
785,3,1.0,1.0000000000000002
786,1,1.0,1.0000000000000002
786,2,1.0,1.0000000000000002
786,3,1.0,0.9999999999999998
787,1,0.9666666666666666,1.0357142857142865
787,2,1.0000000000000004,1.0000000000000002
787,3,0.9629629629629635,1.0399999999999996
788,1,1.0000000000000002,0.9999999999999996
788,2,0.9913793103448276,1.0087719298245625
788,3,1.0,1.0000000000000002
789,1,0.9548387096774201,1.0496453900709215
789,2,0.9700000000000001,1.0319148936170215
789,3,1.0000000000000002,1.0000000000000002
790,1,1.0000000000000002,1.0
790,2,1.0,1.0000000000000044
790,3,1.0000000000000002,1.0
791,1,0.9871794871794877,1.013157894736843
791,2,0.9761904761904762,1.025
791,3,1.0,1.0000000000000007
792,1,0.990740740740741,1.009433962264151
792,2,0.9700000000000001,1.0319148936170215
792,3,0.9687499999999996,1.0333333333333339
793,1,1.0,0.9999999999999996
793,2,1.0,1.000000000000001
793,3,1.0000000000000007,1.0000000000000002
794,1,1.0,1.0000000000000002
794,2,1.0,1.0000000000000004
794,3,0.9999999999999996,1.0000000000000004
795,1,0.9706790123456791,1.0311475409836066
795,2,0.9999999999999996,1.0000000000000002
795,3,0.9666666666666666,1.0357142857142865
796,1,0.9516129032258069,1.0535714285714297
796,2,0.9838709677419355,1.0166666666666675
796,3,0.9687500000000004,1.0333333333333334
797,1,1.0,1.0000000000000002
797,2,1.0,1.0000000000000002
797,3,1.0000000000000004,1.0000000000000002
798,1,1.0,0.9999999999999996
798,2,0.9883720930232559,1.0119047619047619
798,3,0.9999999999999998,1.0000000000000002
799,1,0.9875000000000002,1.0128205128205126
799,2,0.9999999999999998,1.0000000000000004
799,3,1.0,1.0000000000000007
800,1,0.9809523809523808,1.0198019801980198
800,2,1.0,1.0000000000000042
800,3,1.0,1.0000000000000007
801,1,1.0000000000000002,1.0000000000000007
801,2,0.9750000000000001,1.0263157894736843
801,3,0.9999999999999998,1.0000000000000016
802,1,0.9999999999999996,1.0000000000000004
802,2,0.9999999999999998,1.0000000000000007
802,3,1.0000000000000002,0.9999999999999998
803,1,0.9523809523809523,1.0526315789473681
803,2,1.0000000000000002,1.0000000000000002
803,3,1.0,1.0
804,1,1.0,1.0
804,2,0.9807692307692308,1.0200000000000002
804,3,0.9687499999999996,1.0333333333333339
805,1,1.0000000000000002,0.9999999999999998
805,2,1.0,1.0
805,3,1.0,1.0000000000000007
806,1,1.0,1.0
806,2,0.9999999999999996,1.000000000000001
806,3,1.0000000000000002,1.0
807,1,1.0,0.9999999999999998
807,2,0.9999999999999998,1.0000000000000002
807,3,0.988888888888891,1.0113636363636345
808,1,0.9687500000000004,1.0333333333333334
808,2,0.9583333333333354,1.0454545454545452
808,3,1.0,1.0000000000000004
809,1,0.9891304347826088,1.011111111111111
809,2,1.0000000000000002,0.9999999999999998
809,3,1.0,1.0000000000000009
810,1,1.0,1.0
810,2,1.0000000000000002,1.0000000000000029
810,3,1.0000000000000004,1.0000000000000002
811,1,1.0,1.0000000000000004
811,2,0.9846938775510206,1.015789473684211
811,3,1.0,1.0000000000000002
812,1,1.0,1.0000000000000009
812,2,1.0,0.9999999999999998
812,3,1.0,1.0000000000000004
813,1,0.9999999999999993,1.0000000000000013
813,2,1.0,1.0
813,3,0.9687499999999996,1.0333333333333339
814,1,1.0000000000000002,1.0000000000000007
814,2,0.9999999999999998,1.0000000000000002
814,3,1.0,1.0000000000000004
815,1,1.0000000000000013,1.0000000000000016
815,2,1.0000000000000002,0.9999999999999996
815,3,1.0,0.9999999999999998
816,1,0.9632352941176473,1.0396825396825393
816,2,0.9950738916256158,1.0049751243781095
816,3,0.9761904761904762,1.0250000000000001
817,1,0.9838709677419362,1.016666666666666
817,2,1.0000000000000002,0.9999999999999998
817,3,0.9464285714285716,1.0599999999999998
818,1,0.9999999999999996,1.0000000000000007
818,2,0.9677419354838711,1.0344827586206902
818,3,0.9999999999999978,1.0000000000000029
819,1,0.9791666666666665,1.0217391304347827
819,2,1.0,1.0
819,3,1.0000000000000002,1.0000000000000002
820,1,0.979166666666667,1.021739130434783
820,2,0.9750000000000001,1.026315789473684
820,3,0.9843750000000002,1.016129032258065
821,1,0.9999999999999998,1.0000000000000002
821,2,1.0,1.0000000000000002
821,3,1.0000000000000002,1.0
822,1,1.0000000000000004,1.0000000000000007
822,2,0.9523809523809526,1.0526315789473686
822,3,1.0,1.000000000000001
823,1,0.9912280701754388,1.0089285714285712
823,2,1.0,1.0
823,3,1.0000000000000004,0.9999999999999996
824,1,0.916666666666667,1.0999999999999999
824,2,0.9846938775510206,1.015789473684211
824,3,1.0000000000000002,1.0000000000000002
825,1,1.0,1.0000000000000004
825,2,1.0,1.0000000000000007
825,3,1.0,1.0000000000000002
826,1,0.9833333333333338,1.017241379310344
826,2,1.0000000000000002,0.9999999999999998
826,3,1.0000000000000002,0.9999999999999998
827,1,1.0,1.0000000000000004
827,2,1.0,1.0000000000000009
827,3,0.9843750000000002,1.016129032258065
828,1,1.0,1.0
828,2,1.0000000000000002,1.0
828,3,1.0000000000000007,0.9999999999999998
829,1,1.0,1.0000000000000002
829,2,1.0,1.0
829,3,0.9761904761904766,1.025
830,1,0.9916666666666665,1.0084745762711864
830,2,0.9999999999999998,1.0000000000000002
830,3,0.9871794871794869,1.0131578947368425
831,1,1.0,1.0000000000000044
831,2,1.0,1.0
831,3,1.0000000000000002,1.0
832,1,0.9999999999999996,1.0000000000000018
832,2,0.9761904761904762,1.025
832,3,0.9807692307692304,1.02
833,1,0.9743589743589766,1.0270270270270245
833,2,1.0,1.0000000000000004
833,3,1.0000000000000007,0.9999999999999998
834,1,1.0000000000000007,1.0000000000000002
834,2,0.9827586206896556,1.017857142857144
834,3,0.965000000000001,1.0376344086021505
835,1,1.0,1.0000000000000009
835,2,0.9833333333333336,1.0172413793103445
835,3,1.0,1.0000000000000002
836,1,0.990740740740741,1.009433962264151
836,2,1.0000000000000002,0.9999999999999998
836,3,1.0,1.0
837,1,1.0,1.0000000000000018
837,2,1.0,1.0000000000000009
837,3,1.0000000000000002,0.9999999999999998
838,1,0.972972972972973,1.0285714285714287
838,2,1.0,1.0000000000000002
838,3,1.0000000000000004,1.0
839,1,0.9833333333333338,1.017241379310344
839,2,1.0,1.0000000000000004
839,3,0.9965986394557825,1.0034246575342465
840,1,0.916666666666667,1.0999999999999999
840,2,1.0,1.000000000000001
840,3,1.0,1.0
841,1,0.9999999999999982,1.0000000000000016
841,2,0.9833333333333341,1.0172413793103443
841,3,0.9666666666666675,1.0357142857142863
842,1,0.9548387096774201,1.0496453900709215
842,2,1.0000000000000002,0.9999999999999996
842,3,1.0000000000000002,1.0000000000000002
843,1,1.0000000000000042,0.999999999999996
843,2,1.0000000000000002,0.9999999999999998
843,3,0.9999999999999998,1.0000000000000007
844,1,0.9999999999999993,1.0000000000000013
844,2,1.0,1.0
844,3,1.0,1.0000000000000004
845,1,1.0,0.9999999999999998
845,2,1.0,1.0000000000000002
845,3,1.0,1.000000000000004
846,1,0.9900000000000001,1.010204081632653
846,2,1.0,1.0000000000000007
846,3,1.0,1.0
847,1,1.0,1.0
847,2,1.0000000000000007,0.9999999999999998
847,3,0.9999999999999998,1.0000000000000007
848,1,0.9625000000000002,1.0405405405405406
848,2,1.0,1.0000000000000002
848,3,0.9545454545454547,1.0499999999999996
849,1,0.9999999999999998,1.0000000000000029
849,2,1.0000000000000002,1.0000000000000009
