PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-60_PCM-1"", ""Trial-60_PCM-2"", ""Trial-60_PCM-3""]",16.28670234621341,17.90718659843688,16.299064489310553,Error,Error,Error,1.9880240585482407,4.110958815225657,2.3028737768680396
"Any[""Trial-61_PCM-1"", ""Trial-61_PCM-2"", ""Trial-61_PCM-3""]",18.090195906601593,85.06431157592482,17.95903646821118,Error,Error,Error,3.8683471509710032,3.878510344817424,3.0123167447929364
"Any[""Trial-62_PCM-1"", ""Trial-62_PCM-2"", ""Trial-62_PCM-3""]",19.068496196216607,22.469199933710893,20.33808190022218,Error,Error,Error,3.8705123653234295,4.9735600094163335,3.549201899332206
"Any[""Trial-63_PCM-1"", ""Trial-63_PCM-2"", ""Trial-63_PCM-3""]",13.380430003264655,17.249876048411295,13.380425985333567,Error,Error,Error,2.584261342305007,2.8231143556081975,2.1766376092913187
"Any[""Trial-64_PCM-1"", ""Trial-64_PCM-2"", ""Trial-64_PCM-3""]",16.504754220543933,81.67675844660111,17.441526051857608,Error,Error,Error,7.289885949715616,7.183390784490333,7.183391086538364
"Any[""Trial-65_PCM-1"", ""Trial-65_PCM-2"", ""Trial-65_PCM-3""]",18.090163151100196,19.828190440668664,17.700342935791546,Error,Error,Error,2.1359579278674783,2.615946187243959,2.2249028665232453
"Any[""Trial-66_PCM-1"", ""Trial-66_PCM-2"", ""Trial-66_PCM-3""]",20.681150102511197,21.977719524967096,20.902984511833232,Error,Error,Error,3.8057177425905437,5.6668607241815305,4.486561931977734
"Any[""Trial-67_PCM-1"", ""Trial-67_PCM-2"", ""Trial-67_PCM-3""]",19.8457787353563,18.468407496053768,18.293990351499033,Error,Error,Error,5.418753208029155,5.452411686420959,6.1238330756432235
"Any[""Trial-68_PCM-1"", ""Trial-68_PCM-2"", ""Trial-68_PCM-3""]",14.441316784343392,77.44915498804257,14.803805081484,Error,Error,Error,3.393847899702381,5.0292102128537,4.504381404965802
"Any[""Trial-69_PCM-1"", ""Trial-69_PCM-2"", ""Trial-69_PCM-3""]",19.778442949364845,21.254382273015167,20.403500049603498,Error,Error,Error,7.412268992724924,11.886856110073623,8.702928472760556
"Any[""Trial-70_PCM-1"", ""Trial-70_PCM-2"", ""Trial-70_PCM-3""]",19.752256638371655,20.549128911904138,20.133497251616543,Error,Error,Error,2.5096972352414415,3.515745292440194,2.493508948279399
"Any[""Trial-71_PCM-1"", ""Trial-71_PCM-2"", ""Trial-71_PCM-3""]",17.375885800628552,88.12938251331016,17.976800272380608,Error,Error,Error,4.9463646502410334,5.106707224625098,5.113087355677314
"Any[""Trial-72_PCM-1"", ""Trial-72_PCM-2"", ""Trial-72_PCM-3""]",10.758803486266753,26.06010874905631,11.0994343023578,Error,Error,Error,5.207946750039121,5.296847855758417,5.231578783773506
"Any[""Trial-73_PCM-1"", ""Trial-73_PCM-2"", ""Trial-73_PCM-3""]",16.380966739406315,78.32015861703225,16.380967130815385,Error,Error,Error,4.654091541852394,6.484789192000989,4.629784420250026
"Any[""Trial-74_PCM-1"", ""Trial-74_PCM-2"", ""Trial-74_PCM-3""]",16.848509190714317,18.19977275850176,16.529756052326903,Error,Error,Error,4.240739076381331,3.0254200172248122,2.9509220228031317
"Any[""Trial-75_PCM-1"", ""Trial-75_PCM-2"", ""Trial-75_PCM-3""]",13.657771016148727,13.727337114582383,13.604788698520018,Error,Error,Error,3.1927972478414772,3.904900655365942,3.305732903240058
"Any[""Trial-76_PCM-1"", ""Trial-76_PCM-2"", ""Trial-76_PCM-3""]",21.254336088124802,21.829173719911214,21.445166899392877,Error,Error,Error,5.668262375546947,6.776294953799446,4.9736644381205934
"Any[""Trial-77_PCM-1"", ""Trial-77_PCM-2"", ""Trial-77_PCM-3""]",20.69842857531686,84.19614721697639,21.44882290685909,Error,Error,Error,5.962188315735986,7.211440766475241,6.170444949278675
