PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-100_PCM-1"", ""Trial-100_PCM-2"", ""Trial-100_PCM-3""]",15.37120349,15.37120349,18.16054841,,,,,
"Any[""Trial-101_PCM-1"", ""Trial-101_PCM-2"", ""Trial-101_PCM-3""]",15.3245407,15.3245407,16.19294202,,,,,
"Any[""Trial-102_PCM-1"", ""Trial-102_PCM-2"", ""Trial-102_PCM-3""]",14.854896,14.3340752,14.3340752,,,,,
"Any[""Trial-103_PCM-1"", ""Trial-103_PCM-2"", ""Trial-103_PCM-3""]",18.01969671,17.10666438,17.10666438,,,,,
"Any[""Trial-104_PCM-1"", ""Trial-104_PCM-2"", ""Trial-104_PCM-3""]",15.75075671,15.53449103,15.53449103,,,,,
"Any[""Trial-105_PCM-1"", ""Trial-105_PCM-2"", ""Trial-105_PCM-3""]",17.17804315,17.17804315,18.36609739,,,,,
"Any[""Trial-106_PCM-1"", ""Trial-106_PCM-2"", ""Trial-106_PCM-3""]",19.99547694,19.99547694,20.72476805,,,,,
"Any[""Trial-107_PCM-1"", ""Trial-107_PCM-2"", ""Trial-107_PCM-3""]",12.17808877,12.17808877,12.84202825,,,,,
"Any[""Trial-108_PCM-1"", ""Trial-108_PCM-2"", ""Trial-108_PCM-3""]",8.851890307,8.851890307,9.2982541,,,,,
"Any[""Trial-109_PCM-1"", ""Trial-109_PCM-2"", ""Trial-109_PCM-3""]",10.6689129,10.66891206,10.66891206,,,,,
"Any[""Trial-110_PCM-1"", ""Trial-110_PCM-2"", ""Trial-110_PCM-3""]",12.5995304,12.5995304,13.35255593,,,,,
"Any[""Trial-111_PCM-1"", ""Trial-111_PCM-2"", ""Trial-111_PCM-3""]",10.85265919,10.85265919,11.00259161,,,,,
"Any[""Trial-112_PCM-1"", ""Trial-112_PCM-2"", ""Trial-112_PCM-3""]",12.73595241,12.71221446,12.71221446,,,,,
"Any[""Trial-113_PCM-1"", ""Trial-113_PCM-2"", ""Trial-113_PCM-3""]",10.4107582,10.4107582,11.14004456,,,,,
"Any[""Trial-114_PCM-1"", ""Trial-114_PCM-2"", ""Trial-114_PCM-3""]",17.71910839,17.71910839,17.8379823,,,,,
"Any[""Trial-115_PCM-1"", ""Trial-115_PCM-2"", ""Trial-115_PCM-3""]",17.60124613,17.60124613,17.94930015,,,,,
"Any[""Trial-116_PCM-1"", ""Trial-116_PCM-2"", ""Trial-116_PCM-3""]",14.65423892,14.65423892,14.83472448,,,,,
"Any[""Trial-117_PCM-1"", ""Trial-117_PCM-2"", ""Trial-117_PCM-3""]",16.62222802,15.84325347,15.84325347,,,,,
"Any[""Trial-118_PCM-1"", ""Trial-118_PCM-2"", ""Trial-118_PCM-3""]",13.2463372,13.2463372,16.37736333,,,,,
"Any[""Trial-119_PCM-1"", ""Trial-119_PCM-2"", ""Trial-119_PCM-3""]",12.5023951,12.5023951,12.6523274,,,,,
"Any[""Trial-120_PCM-1"", ""Trial-120_PCM-2"", ""Trial-120_PCM-3""]",16.37737345,15.22665003,15.22665003,,,,,
"Any[""Trial-121_PCM-1"", ""Trial-121_PCM-2"", ""Trial-121_PCM-3""]",20.31178886,20.31178886,20.31179176,,,,,
"Any[""Trial-122_PCM-1"", ""Trial-122_PCM-2"", ""Trial-122_PCM-3""]",13.35301361,13.35301361,14.15833245,,,,,
"Any[""Trial-123_PCM-1"", ""Trial-123_PCM-2"", ""Trial-123_PCM-3""]",20.09222857,20.09222857,21.0299764,,,,,
"Any[""Trial-124_PCM-1"", ""Trial-124_PCM-2"", ""Trial-124_PCM-3""]",12.79322238,12.79322238,12.79322405,,,,,
"Any[""Trial-125_PCM-1"", ""Trial-125_PCM-2"", ""Trial-125_PCM-3""]",14.02490659,12.96493004,12.96493004,,,,,
"Any[""Trial-126_PCM-1"", ""Trial-126_PCM-2"", ""Trial-126_PCM-3""]",11.98292861,11.98292861,12.44982581,,,,,
"Any[""Trial-127_PCM-1"", ""Trial-127_PCM-2"", ""Trial-127_PCM-3""]",16.79879689,14.471216,14.471216,,,,,
"Any[""Trial-128_PCM-1"", ""Trial-128_PCM-2"", ""Trial-128_PCM-3""]",14.5415617,14.5415617,15.11301265,,,,,
"Any[""Trial-129_PCM-1"", ""Trial-129_PCM-2"", ""Trial-129_PCM-3""]",9.939626869,9.939626869,10.2876718,,,,,
"Any[""Trial-130_PCM-1"", ""Trial-130_PCM-2"", ""Trial-130_PCM-3""]",15.01366987,13.14474888,13.14474888,,,,,
"Any[""Trial-131_PCM-1"", ""Trial-131_PCM-2"", ""Trial-131_PCM-3""]",14.94027224,14.52865715,14.52865715,,,,,
"Any[""Trial-132_PCM-1"", ""Trial-132_PCM-2"", ""Trial-132_PCM-3""]",15.31214818,15.31214818,15.3976486,,,,,
"Any[""Trial-133_PCM-1"", ""Trial-133_PCM-2"", ""Trial-133_PCM-3""]",15.95593533,15.95593533,16.37737708,,,,,
"Any[""Trial-134_PCM-1"", ""Trial-134_PCM-2"", ""Trial-134_PCM-3""]",12.53614566,12.53614566,13.10046123,,,,,
"Any[""Trial-135_PCM-1"", ""Trial-135_PCM-2"", ""Trial-135_PCM-3""]",12.17808359,11.56148283,11.56148283,,,,,
"Any[""Trial-136_PCM-1"", ""Trial-136_PCM-2"", ""Trial-136_PCM-3""]",14.83229206,13.92773062,13.92773062,,,,,
"Any[""Trial-137_PCM-1"", ""Trial-137_PCM-2"", ""Trial-137_PCM-3""]",17.86930447,17.86930447,18.9866748,,,,,
"Any[""Trial-138_PCM-1"", ""Trial-138_PCM-2"", ""Trial-138_PCM-3""]",12.87550364,12.87550364,13.29694526,,,,,
"Any[""Trial-139_PCM-1"", ""Trial-139_PCM-2"", ""Trial-139_PCM-3""]",15.2763395,13.86294361,13.86294361,,,,,
"Any[""Trial-140_PCM-1"", ""Trial-140_PCM-2"", ""Trial-140_PCM-3""]",15.41140525,14.95809155,14.95809155,,,,,
"Any[""Trial-141_PCM-1"", ""Trial-141_PCM-2"", ""Trial-141_PCM-3""]",14.75550767,14.75550767,15.07567952,,,,,
"Any[""Trial-142_PCM-1"", ""Trial-142_PCM-2"", ""Trial-142_PCM-3""]",16.36498848,16.36498848,17.19135161,,,,,
"Any[""Trial-143_PCM-1"", ""Trial-143_PCM-2"", ""Trial-143_PCM-3""]",13.86294251,13.86294251,14.5922269,,,,,
"Any[""Trial-144_PCM-1"", ""Trial-144_PCM-2"", ""Trial-144_PCM-3""]",15.98005097,15.98005097,18.0875278,,,,,
"Any[""Trial-145_PCM-1"", ""Trial-145_PCM-2"", ""Trial-145_PCM-3""]",14.85581123,14.85581123,16.09445262,,,,,
"Any[""Trial-146_PCM-1"", ""Trial-146_PCM-2"", ""Trial-146_PCM-3""]",16.89703496,16.89703496,17.60059753,,,,,
"Any[""Trial-147_PCM-1"", ""Trial-147_PCM-2"", ""Trial-147_PCM-3""]",12.1899742,11.81631092,11.81631092,,,,,
"Any[""Trial-148_PCM-1"", ""Trial-148_PCM-2"", ""Trial-148_PCM-3""]",13.02005232,13.02005232,13.32233199,,,,,
"Any[""Trial-149_PCM-1"", ""Trial-149_PCM-2"", ""Trial-149_PCM-3""]",14.97186491,11.90161402,11.90161402,,,,,
"Any[""Trial-150_PCM-1"", ""Trial-150_PCM-2"", ""Trial-150_PCM-3""]",15.26016429,15.05146947,15.05146947,,,,,
"Any[""Trial-151_PCM-1"", ""Trial-151_PCM-2"", ""Trial-151_PCM-3""]",14.41654911,13.79994909,13.79994909,,,,,
"Any[""Trial-152_PCM-1"", ""Trial-152_PCM-2"", ""Trial-152_PCM-3""]",15.12989219,14.49639213,14.49639213,,,,,
"Any[""Trial-153_PCM-1"", ""Trial-153_PCM-2"", ""Trial-153_PCM-3""]",16.37737732,16.37737732,16.6198754,,,,,
"Any[""Trial-154_PCM-1"", ""Trial-154_PCM-2"", ""Trial-154_PCM-3""]",15.1458146,15.0761974,15.0761974,,,,,
"Any[""Trial-155_PCM-1"", ""Trial-155_PCM-2"", ""Trial-155_PCM-3""]",15.01367234,15.01367234,15.79029324,,,,,
"Any[""Trial-156_PCM-1"", ""Trial-156_PCM-2"", ""Trial-156_PCM-3""]",13.44150069,13.44150069,17.10665893,,,,,
"Any[""Trial-157_PCM-1"", ""Trial-157_PCM-2"", ""Trial-157_PCM-3""]",18.87579701,18.87579701,22.21410252,,,,,
"Any[""Trial-158_PCM-1"", ""Trial-158_PCM-2"", ""Trial-158_PCM-3""]",11.85132204,11.85132204,11.85132212,,,,,
"Any[""Trial-159_PCM-1"", ""Trial-159_PCM-2"", ""Trial-159_PCM-3""]",14.44675513,14.44675513,15.90624279,,,,,
"Any[""Trial-160_PCM-1"", ""Trial-160_PCM-2"", ""Trial-160_PCM-3""]",12.2588991,12.2588991,12.51705324,,,,,
"Any[""Trial-161_PCM-1"", ""Trial-161_PCM-2"", ""Trial-161_PCM-3""]",11.67676697,10.87408398,10.87408398,,,,,
"Any[""Trial-162_PCM-1"", ""Trial-162_PCM-2"", ""Trial-162_PCM-3""]",13.96323067,13.96323067,13.97888202,,,,,
"Any[""Trial-163_PCM-1"", ""Trial-163_PCM-2"", ""Trial-163_PCM-3""]",15.49237154,15.49237154,15.67845141,,,,,
"Any[""Trial-164_PCM-1"", ""Trial-164_PCM-2"", ""Trial-164_PCM-3""]",11.7894335,11.7894335,11.93936635,,,,,
"Any[""Trial-165_PCM-1"", ""Trial-165_PCM-2"", ""Trial-165_PCM-3""]",15.93502393,15.93502393,18.22224422,,,,,
"Any[""Trial-166_PCM-1"", ""Trial-166_PCM-2"", ""Trial-166_PCM-3""]",14.70658545,14.70658545,15.45292803,,,,,
"Any[""Trial-167_PCM-1"", ""Trial-167_PCM-2"", ""Trial-167_PCM-3""]",16.28250977,16.28250977,17.01179645,,,,,
"Any[""Trial-168_PCM-1"", ""Trial-168_PCM-2"", ""Trial-168_PCM-3""]",14.06309394,14.06309394,14.31757964,,,,,
"Any[""Trial-169_PCM-1"", ""Trial-169_PCM-2"", ""Trial-169_PCM-3""]",14.49520046,13.97889263,13.97889263,,,,,
"Any[""Trial-170_PCM-1"", ""Trial-170_PCM-2"", ""Trial-170_PCM-3""]",9.803202785,9.803202785,12.31259456,,,,,
"Any[""Trial-171_PCM-1"", ""Trial-171_PCM-2"", ""Trial-171_PCM-3""]",12.54291382,12.54291382,13.0140459,,,,,
"Any[""Trial-172_PCM-1"", ""Trial-172_PCM-2"", ""Trial-172_PCM-3""]",11.64396356,11.64396356,12.79469088,,,,,
"Any[""Trial-173_PCM-1"", ""Trial-173_PCM-2"", ""Trial-173_PCM-3""]",14.37470688,14.37470688,15.01549678,,,,,
"Any[""Trial-174_PCM-1"", ""Trial-174_PCM-2"", ""Trial-174_PCM-3""]",15.52852286,15.52852286,16.14512072,,,,,
"Any[""Trial-175_PCM-1"", ""Trial-175_PCM-2"", ""Trial-175_PCM-3""]",17.90966873,17.27155021,17.27155021,,,,,
"Any[""Trial-176_PCM-1"", ""Trial-176_PCM-2"", ""Trial-176_PCM-3""]",11.00787701,11.00787701,11.45424111,,,,,
"Any[""Trial-177_PCM-1"", ""Trial-177_PCM-2"", ""Trial-177_PCM-3""]",12.97053494,12.97053494,14.05161847,,,,,
"Any[""Trial-178_PCM-1"", ""Trial-178_PCM-2"", ""Trial-178_PCM-3""]",13.62259576,11.90953214,11.90953214,,,,,
"Any[""Trial-179_PCM-1"", ""Trial-179_PCM-2"", ""Trial-179_PCM-3""]",17.90934188,17.52810401,17.52810401,,,,,
"Any[""Trial-180_PCM-1"", ""Trial-180_PCM-2"", ""Trial-180_PCM-3""]",13.41656876,13.41656876,17.49462469,,,,,
"Any[""Trial-181_PCM-1"", ""Trial-181_PCM-2"", ""Trial-181_PCM-3""]",16.23781351,16.23781351,16.26449461,,,,,
"Any[""Trial-182_PCM-1"", ""Trial-182_PCM-2"", ""Trial-182_PCM-3""]",16.6322321,15.87798597,15.87798597,,,,,
"Any[""Trial-183_PCM-1"", ""Trial-183_PCM-2"", ""Trial-183_PCM-3""]",21.00045621,20.18127965,20.18127965,,,,,
"Any[""Trial-184_PCM-1"", ""Trial-184_PCM-2"", ""Trial-184_PCM-3""]",18.11256902,18.11256902,18.38552749,,,,,
"Any[""Trial-185_PCM-1"", ""Trial-185_PCM-2"", ""Trial-185_PCM-3""]",14.45682903,14.45682903,14.89306577,,,,,
"Any[""Trial-186_PCM-1"", ""Trial-186_PCM-2"", ""Trial-186_PCM-3""]",18.61583417,18.4206786,18.4206786,,,,,
"Any[""Trial-187_PCM-1"", ""Trial-187_PCM-2"", ""Trial-187_PCM-3""]",14.16533793,14.00127127,14.00127127,,,,,
"Any[""Trial-188_PCM-1"", ""Trial-188_PCM-2"", ""Trial-188_PCM-3""]",14.33407526,14.33407526,14.95067761,,,,,
"Any[""Trial-189_PCM-1"", ""Trial-189_PCM-2"", ""Trial-189_PCM-3""]",13.62191631,13.62191631,14.46388218,,,,,
